SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
40,1,1,33,New Hampshire,1377518,1378587,1387505,1395231,1069,8918,7726,2994,12107,12670,3477,13693,14700,-483,-1586,-2030,88,1542,3900,1223,8512,6303,1311,10054,10203,241,450,-447,8.753866466,9.106145894,9.900610681,10.56514165,-1.146744215,-1.458995751,1.114930378,2.802996763,6.154531375,4.530073999,7.269461753,7.333070762
40,1,2,34,New Jersey,9289031,9271689,9267961,9261699,-17342,-3728,-6262,24719,97795,102555,33957,84110,82804,-9238,13685,19751,901,14748,39388,-9775,-33743,-64231,-8874,-18995,-24843,770,1582,-1170,10.5498216,11.06928028,9.073526199,8.93745487,1.476295399,2.131825409,1.590968546,4.25134622,-3.640090293,-6.932776964,-2.049121747,-2.681430744
40,4,8,35,New Mexico,2117527,2118390,2116677,2113344,863,-1713,-3333,5328,21322,20955,5509,24691,25250,-181,-3369,-4295,159,2259,5893,653,-1207,-4504,812,1052,1389,232,604,-427,10.06926219,9.907752231,11.66026417,11.93847501,-1.591001984,-2.030722779,1.066807208,2.786274584,-0.570002789,-2.129540255,0.496804419,0.656734328
40,1,2,36,New York,20201230,20108296,19857492,19677151,-92934,-250804,-180341,53083,205802,212145,72523,177143,176534,-19440,28659,35611,1343,28770,77923,-69544,-295820,-299557,-68201,-267050,-221634,-5293,-12413,5682,10.29890866,10.73210652,8.864732005,8.930597906,1.434176651,1.801508616,1.439731402,3.942011061,-14.80366157,-15.15415227,-13.36393017,-11.21214121
40,3,5,37,North Carolina,10439414,10449445,10565885,10698973,10031,116440,133088,28675,116827,122179,25879,115142,115720,2796,1685,6459,674,9927,26430,7614,104457,99796,8288,114384,126226,-1053,371,403,11.11826462,11.49116538,10.95790549,10.88368425,0.160359128,0.607481132,0.944738912,2.485791347,9.941028763,9.386002013,10.88576768,11.87179336
40,2,4,38,North Dakota,779091,779518,777934,779261,427,-1584,1327,2563,10058,10164,1758,7816,7365,805,2242,2799,29,455,1268,-482,-3994,-2710,-453,-3539,-1442,75,-287,-30,12.91596788,13.05424176,10.03690643,9.459316271,2.879061441,3.594925491,0.58428767,1.628569319,-5.128890008,-3.480617392,-4.544602338,-1.852048074
40,2,3,39,Ohio,11799374,11797517,11764342,11756058,-1857,-33175,-8284,32341,128220,129529,33744,146833,149072,-1403,-18613,-19543,518,9281,24112,-3120,-27630,-9165,-2602,-18349,14947,2148,3787,-3688,10.88369131,11.01418343,12.46361758,12.6759749,-1.57992627,-1.661791466,0.78779862,2.050305267,-2.345315792,-0.779323481,-1.557517172,1.270981786
40,3,7,40,Oklahoma,3959346,3964912,3991225,4019800,5566,26313,28575,11579,47369,48107,10380,50720,51390,1199,-3351,-3283,177,2186,5737,3721,26295,26791,3898,28481,32528,469,1183,-670,11.90753754,12.01019845,12.74990614,12.82981891,-0.842368602,-0.819620461,0.549512911,1.432276144,6.609991759,6.688532366,7.159504669,8.120808511
40,4,9,41,Oregon,4237291,4244795,4256301,4240137,7504,11506,-16164,10280,39736,41143,9533,41956,46232,747,-2220,-5089,177,2609,7026,6270,10285,-17331,6447,12894,-10305,310,832,-770,9.34844166,9.684764368,9.870727257,10.88267813,-0.522285597,-1.197913761,0.613803208,1.653869539,2.419688003,-4.079591942,3.033491211,-2.425722403
40,1,2,42,Pennsylvania,13002689,12994440,13012059,12972008,-8249,17619,-40051,32901,129979,132099,40229,155784,155120,-7328,-25805,-23021,625,10198,26741,-4008,27747,-39957,-3383,37945,-13216,2462,5479,-3814,9.995886028,10.16769238,11.98038998,11.93962439,-1.98450395,-1.771932007,0.784265502,2.058261318,2.133851235,-3.075500075,2.918116737,-1.017238756
40,1,1,44,Rhode Island,1097371,1096345,1096985,1093734,-1026,640,-3251,2546,10013,10544,3388,11348,11110,-842,-1335,-566,76,1073,2799,-474,389,-5196,-398,1462,-2397,214,513,-288,9.130409013,9.626063407,10.34773609,10.14278874,-1.217327078,-0.516725331,0.97842094,2.555325443,0.354711785,-4.74364809,1.333132725,-2.188322647
40,3,5,45,South Carolina,5118429,5131848,5193266,5282634,13419,61418,89368,13492,55591,57071,14077,65128,64531,-585,-9537,-7460,337,4026,10654,14409,67509,84030,14746,71535,94684,-742,-580,2144,10.76811355,10.89567484,12.61545393,12.31989614,-1.847340378,-1.424221308,0.779846111,2.034001852,13.07665949,16.04253573,13.8565056,18.07653758
40,2,4,46,South Dakota,886677,887799,896164,909824,1122,8365,13660,2832,11067,11392,2023,9867,9231,809,1200,2161,63,1100,2781,256,6031,8424,319,7131,11205,-6,34,294,12.407208,12.61580919,11.06188862,10.22265929,1.345319382,2.393149899,1.233209433,3.079754683,6.761350992,9.328965641,7.994560425,12.40872032
40,3,6,47,Tennessee,6910786,6925619,6968351,7051339,14833,42732,82988,19250,79271,81970,18940,89362,91183,310,-10091,-9213,209,3113,8096,14307,50450,81646,14516,53563,89742,7,-740,2459,11.41084946,11.69355385,12.86342205,13.00784825,-1.452572591,-1.314294396,0.448108064,1.154947078,7.262143218,11.64733314,7.710251282,12.80228022
40,3,7,48,Texas,29145428,29232474,29558864,30029572,87046,326390,470708,88265,363960,379412,55744,271120,261253,32521,92840,118159,1976,43472,118614,51470,192821,230961,53446,236293,349575,1079,-2743,2974,12.38141578,12.73441713,9.223127393,8.768580535,3.158288386,3.965836593,1.478857311,3.981108012,6.559503715,7.751873199,8.038361025,11.73298121
40,4,8,49,Utah,3271614,3283785,3339113,3380800,12171,55328,41687,11862,45745,46912,4958,22016,23363,6904,23729,23549,118,2055,5414,4548,29679,12898,4666,31734,18312,601,-135,-174,13.81419433,13.96208552,6.648449063,6.953363831,7.165745267,7.00872169,0.620574256,1.611330385,8.962541776,3.838740174,9.583116032,5.450070559
40,1,1,50,Vermont,643085,642893,646972,647064,-192,4079,92,1303,5069,5342,1565,6429,7148,-262,-1360,-1806,21,415,1012,-83,4835,1141,-62,5250,2153,132,189,-255,7.859737259,8.256339082,9.968485074,11.04760609,-2.108747815,-2.791267013,0.643478194,1.56409868,7.496908591,1.763474896,8.140386785,3.327573576
40,3,5,51,Virginia,8631384,8636471,8657365,8683619,5087,20894,26254,23580,94523,96748,19817,83281,83823,3763,11242,12925,760,14310,37692,-358,-5465,-23952,402,8845,13740,922,807,-411,10.93140932,11.15830567,9.631292907,9.667617478,1.300116411,1.490688187,1.654924911,4.347158154,-0.632017096,-2.762472995,1.022907815,1.58468516
40,4,9,53,Washington,7705247,7724031,7740745,7785786,18784,16714,45041,21104,82466,84270,15165,64959,70778,5939,17507,13492,671,13989,37512,11592,-15388,-3580,12263,-1399,33932,582,606,-2383,10.6650106,10.85496818,8.400897627,9.11703973,2.264112975,1.737928453,1.809143566,4.831987261,-1.990070855,-0.46114615,-0.180927289,4.370841111
40,3,5,54,West Virginia,1793755,1791420,1785526,1775156,-2335,-5894,-10370,4296,17304,17484,5907,27437,29642,-1611,-10133,-12158,36,727,1773,-880,2866,474,-844,3593,2247,120,646,-459,9.675292834,9.82059055,15.34101997,16.64961937,-5.665727131,-6.829028821,0.406492019,0.995876633,1.602484354,0.26624113,2.008976373,1.262117763
40,2,3,55,Wisconsin,5893725,5896271,5880101,5892539,2546,-16170,12438,15554,60007,61639,14163,61805,63397,1391,-1798,-1758,215,3189,8174,-139,-18901,7657,76,-15712,15831,1079,1340,-1635,10.19108432,10.47156798,10.49644152,10.77022656,-0.305357202,-0.298658585,0.541592946,1.388643499,-3.209986913,1.300812732,-2.668393967,2.689456231
40,4,8,56,Wyoming,576837,577605,579483,581381,768,1878,1898,1584,6157,6189,1300,6194,6679,284,-37,-490,19,135,342,419,1785,2152,438,1920,2494,46,-5,-106,10.64223292,10.66274775,10.70618657,11.50694655,-0.063953649,-0.844198804,0.233344396,0.589216308,3.085331453,3.707583317,3.318675848,4.296799625
40,X,X,72,Puerto Rico,3285874,3281557,3262693,3221789,-4317,-18864,-40904,4545,18794,19645,7301,33341,34102,-2756,-14547,-14457,-1561,-4317,-26447,0,0,0,-1561,-4317,-26447,0,0,0,5.743668106,6.059080741,10.18940291,10.51803367,-4.445734805,-4.458952928,-1.319326126,-8.157012387,0,0,-1.319326126,-8.157012387
