Median Household Income,state,place,Median Gross Rent,Median Home Value (Owner Occupied)
44375.0,1,39280,,68300.0
51250.0,1,39472,,90000.0
43158.0,1,39520,313.0,77500.0
54261.0,1,39784,804.0,125900.0
98882.0,1,39856,1183.0,224200.0
52734.0,1,40072,854.0,96300.0
40278.0,1,40096,588.0,71000.0
47849.0,1,40648,882.0,89000.0
30230.0,1,40672,497.0,110700.0
50750.0,1,40888,817.0,118800.0
84456.0,1,40928,974.0,220600.0
46404.0,1,41296,672.0,95500.0
50227.0,1,41368,,268800.0
62432.0,1,41968,790.0,169900.0
55625.0,1,42016,931.0,147700.0
27946.0,1,42160,525.0,72300.0
68854.0,1,42304,,155000.0
46250.0,1,42352,,118100.0
66786.0,1,42472,1009.0,116000.0
58304.0,1,42640,660.0,126900.0
105000.0,1,42808,725.0,
55192.0,1,42928,,182400.0
63464.0,1,43120,952.0,152500.0
40427.0,1,43240,689.0,86000.0
36522.0,1,43264,529.0,127900.0
41161.0,1,43336,695.0,76700.0
44583.0,1,43384,823.0,65600.0
48594.0,1,43648,661.0,141300.0
16321.0,1,43720,616.0,132500.0
39688.0,1,43744,825.0,187500.0
31477.0,1,43816,611.0,73000.0
33775.0,1,43888,1069.0,131100.0
,1,44160,,78500.0
37679.0,1,44344,507.0,
59375.0,1,44536,,150000.0
73125.0,1,44608,756.0,217700.0
49148.0,1,44728,615.0,102200.0
35880.0,1,44800,625.0,57400.0
73332.0,1,45040,1429.0,211900.0
45900.0,1,45208,981.0,63100.0
44038.0,1,45316,,80400.0
73750.0,1,45472,,154000.0
25781.0,1,45496,375.0,42500.0
11538.0,1,45640,,216700.0
105335.0,1,45784,1080.0,279800.0
46250.0,1,45904,,112500.0
81786.0,1,46072,1105.0,324300.0
,1,46192,,
45167.0,1,46264,839.0,103200.0
44500.0,1,46504,1092.0,97600.0
66250.0,1,46600,,169600.0
64992.0,1,46696,924.0,162700.0
28915.0,1,46768,609.0,82800.0
47750.0,1,47728,775.0,87800.0
128125.0,1,47740,1428.0,320200.0
,1,47848,,
2499.0,1,48052,,
38000.0,1,48064,,174100.0
85719.0,1,48112,1137.0,207400.0
46929.0,1,48376,980.0,73800.0
30987.0,1,48400,542.0,99600.0
25000.0,1,48424,401.0,79200.0
44844.0,1,48616,675.0,32800.0
59084.0,1,48712,908.0,161300.0
,1,48784,,
58906.0,1,48808,594.0,94300.0
37750.0,1,48832,523.0,141100.0
47837.0,1,49072,1152.0,84500.0
44780.0,1,50000,918.0,138400.0
28718.0,1,50192,542.0,107900.0
43504.0,1,50312,768.0,163100.0
49989.0,1,51000,939.0,125600.0
69846.0,1,51096,1108.0,177500.0
76392.0,1,51216,990.0,200400.0
,1,51264,,296400.0
84375.0,1,51456,676.0,192400.0
21402.0,1,51469,,198900.0
27634.0,1,51520,522.0,64100.0
36992.0,1,51600,503.0,102800.0
57857.0,1,51648,828.0,144800.0
150268.0,1,51696,1577.0,697800.0
44464.0,1,52320,,47200.0
85597.0,1,52344,1004.0,163400.0
39129.0,1,52608,773.0,95800.0
13750.0,1,52680,,
33750.0,1,52776,857.0,57100.0
27375.0,1,52848,643.0,71800.0
61772.0,1,53016,882.0,154600.0
71250.0,1,53112,,57100.0
,1,53208,,161800.0
105700.0,1,53232,,178600.0
47692.0,1,53256,675.0,64300.0
100500.0,1,53376,,135000.0
36875.0,1,53400,692.0,61700.0
42955.0,1,53448,,177100.0
56250.0,1,53472,,57500.0
30833.0,1,53784,,64600.0
59760.0,1,53856,520.0,154100.0
71917.0,1,54168,777.0,136800.0
45365.0,1,54312,693.0,109500.0
55000.0,1,54432,540.0,123700.0
58594.0,1,54480,585.0,81100.0
66442.0,1,54582,,137300.0
31786.0,1,54600,713.0,80000.0
45515.0,1,54696,,
26146.0,1,55044,509.0,71900.0
41786.0,1,55152,,62400.0
69921.0,1,55200,870.0,196200.0
48333.0,1,55440,508.0,87000.0
51711.0,1,55752,739.0,88600.0
,1,55848,,142500.0
21753.0,1,55992,292.0,65800.0
69479.0,1,56400,475.0,158100.0
59844.0,1,56472,928.0,156300.0
40391.0,1,57000,663.0,164200.0
35536.0,1,57024,568.0,52500.0
51074.0,1,57048,804.0,154800.0
40372.0,1,57120,655.0,94100.0
84838.0,1,57144,1199.0,353000.0
17321.0,1,57240,300.0,85000.0
65061.0,1,57384,,90800.0
65100.0,1,57504,799.0,154500.0
62226.0,1,57576,838.0,141700.0
44014.0,1,57648,752.0,121400.0
58000.0,1,57696,,60800.0
,1,57912,,
33594.0,1,58272,590.0,46100.0
42298.0,1,58680,,84400.0
81606.0,1,58848,1194.0,215700.0
58036.0,1,58896,973.0,205900.0
25732.0,1,58968,326.0,55000.0
,1,59016,,
42250.0,1,59064,,126900.0
71667.0,1,59088,930.0,174400.0
,1,59232,,
59583.0,1,59328,,67500.0
43296.0,1,59472,877.0,136600.0
29167.0,1,59496,568.0,71900.0
40833.0,1,59592,735.0,126800.0
45463.0,1,59640,653.0,87100.0
109537.0,1,59760,1367.0,308500.0
43750.0,1,59832,619.0,115100.0
39205.0,1,59880,550.0,94600.0
36184.0,1,60240,251.0,126400.0
80066.0,1,60264,,171400.0
73205.0,1,60372,774.0,
70393.0,1,60648,1137.0,150800.0
48795.0,1,60720,446.0,122300.0
67000.0,1,61008,1076.0,160600.0
53250.0,1,61038,655.0,119800.0
62188.0,1,61488,383.0,734700.0
,1,61536,568.0,81700.0
54009.0,1,62075,750.0,87000.0
65932.0,1,62328,1140.0,171700.0
97845.0,1,62472,1292.0,192500.0
32900.0,1,62496,833.0,69300.0
49583.0,1,62688,,84200.0
,1,62952,,
35875.0,1,63216,446.0,115500.0
51765.0,1,63288,847.0,169800.0
49375.0,1,63336,556.0,161900.0
45000.0,1,63408,798.0,152700.0
60703.0,1,63495,,
30000.0,1,63576,482.0,75100.0
107350.0,1,63730,781.0,273700.0
47500.0,1,63768,703.0,80600.0
105156.0,1,63912,1573.0,
53958.0,1,63984,729.0,131900.0
,1,64040,,74400.0
34647.0,1,64104,388.0,84600.0
58967.0,1,64152,1000.0,158100.0
55446.0,1,64248,938.0,146500.0
37083.0,1,64368,675.0,118800.0
26719.0,1,64656,,84300.0
31250.0,1,64776,669.0,72300.0
55417.0,1,64920,937.0,191500.0
30833.0,1,65016,950.0,102300.0
38731.0,1,65040,598.0,114500.0
55707.0,1,65208,971.0,135300.0
63098.0,1,65412,,100600.0
26354.0,1,65472,,88400.0
33185.0,1,65592,,62200.0
,1,65784,,
42337.0,1,66216,708.0,122100.0
36346.0,1,66408,765.0,
43829.0,1,67056,587.0,93000.0
33500.0,1,67176,623.0,67700.0
46250.0,1,67536,395.0,206500.0
,1,67584,,
51135.0,1,67608,833.0,92100.0
28884.0,1,67800,588.0,65900.0
63698.0,1,67920,909.0,150000.0
20341.0,1,68016,556.0,72100.0
61216.0,1,68160,916.0,163600.0
61944.0,1,68280,688.0,162800.0
88312.0,1,68352,1118.0,161200.0
43672.0,1,68736,654.0,122000.0
31667.0,1,69000,619.0,103800.0
29656.0,1,69120,644.0,86800.0
31745.0,1,69180,694.0,46000.0
55409.0,1,69240,,159300.0
36642.0,1,69648,725.0,105000.0
54896.0,1,69672,,108000.0
54417.0,1,69840,669.0,65700.0
119018.0,1,69978,,531300.0
39583.0,1,70128,488.0,73800.0
45952.0,1,70416,593.0,74300.0
49375.0,1,70536,1130.0,208100.0
,1,70632,,
20526.0,1,70704,890.0,49000.0
36826.0,1,70896,533.0,87400.0
37596.0,1,71040,719.0,76200.0
53096.0,1,71190,829.0,156200.0
108200.0,1,71201,,190500.0
50956.0,1,71280,545.0,135400.0
39904.0,1,71496,645.0,111300.0
66692.0,1,71832,999.0,161400.0
27625.0,1,71900,649.0,178000.0
89504.0,1,71976,1214.0,237700.0
29267.0,1,72408,,
56106.0,1,72600,752.0,204700.0
46250.0,1,72672,,
,1,72720,,
140038.0,1,72816,,281100.0
43182.0,1,72888,1085.0,86600.0
26007.0,1,73056,,179800.0
41348.0,1,73080,547.0,95600.0
55045.0,1,73152,690.0,148700.0
127699.0,1,73272,,262300.0
22837.0,1,73728,430.0,70300.0
58578.0,1,73848,544.0,128300.0
60500.0,1,73872,937.0,196000.0
50000.0,1,74160,631.0,107500.0
63000.0,1,74304,,118100.0
41864.0,1,74352,627.0,137500.0
46615.0,1,74400,582.0,105200.0
75250.0,1,74424,1091.0,181700.0
31795.0,1,74592,605.0,96300.0
43750.0,1,74616,,109600.0
47405.0,1,74688,888.0,128900.0
36927.0,1,74976,860.0,92300.0
49394.0,1,75096,973.0,98900.0
57524.0,1,75768,1084.0,120300.0
,1,75936,932.0,81700.0
41417.0,1,75960,718.0,156200.0
58194.0,1,76080,,124100.0
,1,76200,,
45469.0,1,76208,767.0,93800.0
45769.0,1,76320,787.0,123700.0
36824.0,1,76584,515.0,91100.0
26875.0,1,76632,,159500.0
21146.0,1,76680,775.0,81600.0
71202.0,1,76824,,161800.0
78621.0,1,76872,414.0,174600.0
36409.0,1,76920,793.0,168700.0
108070.0,1,76944,1428.0,287700.0
44880.0,1,77256,907.0,194500.0
42692.0,1,77280,730.0,121400.0
32024.0,1,77304,635.0,83600.0
43125.0,1,77352,,78800.0
38214.0,1,77580,668.0,97700.0
,1,77616,,41200.0
,1,77784,,165600.0
20476.0,1,77880,438.0,64900.0
22159.0,1,77904,399.0,60900.0
,1,78120,,
51476.0,1,78204,892.0,100800.0
64721.0,1,78232,690.0,115300.0
39367.0,1,78240,563.0,69400.0
62794.0,1,78264,1000.0,151700.0
24070.0,1,78312,770.0,116400.0
34181.0,1,78480,421.0,118200.0
118539.0,1,78552,1301.0,402100.0
36450.0,1,78984,610.0,71100.0
38571.0,1,79008,,108200.0
,1,79032,,72900.0
,1,79272,,92500.0
21346.0,1,79344,406.0,
36731.0,1,79488,1125.0,61800.0
36875.0,1,79728,525.0,117800.0
44075.0,1,79944,540.0,141100.0
36250.0,1,80064,688.0,65000.0
64583.0,1,80256,921.0,223400.0
66990.0,1,80352,774.0,112800.0
39688.0,1,80376,782.0,70000.0
35750.0,1,80496,542.0,129700.0
43850.0,1,80736,,123500.0
37330.0,1,80928,886.0,101300.0
40143.0,1,81084,714.0,53000.0
44531.0,1,81336,1000.0,133300.0
79362.0,1,81504,815.0,222700.0
52321.0,1,81528,600.0,155200.0
49146.0,1,81720,899.0,160300.0
,1,81744,,
31944.0,1,81912,794.0,53400.0
53796.0,1,82104,,
57880.0,1,82176,808.0,114800.0
61111.0,1,82848,794.0,182400.0
53594.0,1,82872,543.0,109900.0
68109.0,1,82992,626.0,136100.0
145227.0,1,83400,492.0,408400.0
56146.0,1,83640,575.0,120600.0
48750.0,1,83664,705.0,113500.0
16250.0,1,83976,,62200.0
30307.0,1,84096,497.0,33100.0
57500.0,2,65,,27500.0
65417.0,2,650,,85000.0
38125.0,2,760,445.0,27900.0
56875.0,2,870,,
32750.0,2,1090,711.0,91700.0
36429.0,2,1200,778.0,122900.0
46250.0,2,1305,,75000.0
,2,1390,,
46875.0,2,1420,1094.0,168800.0
,2,1560,,
22000.0,2,1860,700.0,58800.0
35750.0,2,1970,,75700.0
62788.0,2,2080,892.0,100000.0
88871.0,2,3000,1350.0,327500.0
54024.0,2,3110,1079.0,188900.0
90000.0,2,3220,1200.0,156300.0
44167.0,2,3440,,139300.0
63750.0,2,3550,1375.0,220000.0
51250.0,2,3880,,34500.0
37708.0,2,3990,,85000.0
52500.0,2,4210,,95000.0
44500.0,2,4430,,29400.0
91875.0,2,4500,,106300.0
,2,4670,,
89375.0,2,5000,1527.0,236300.0
63320.0,2,5585,,225500.0
33036.0,2,5750,,29800.0
,2,6245,,
100168.0,2,6520,1572.0,309900.0
,2,6630,,
75556.0,2,6850,1333.0,150900.0
57157.0,2,7070,1113.0,244800.0
,2,7620,,
55078.0,2,8740,631.0,73600.0
51923.0,2,9600,1125.0,74500.0
64107.0,2,9657,1019.0,262200.0
91471.0,2,9710,1328.0,272200.0
34000.0,2,10150,,183300.0
16296.0,2,11690,,56100.0
28333.0,2,11800,,31700.0
,2,12350,,
34375.0,2,12680,,
114655.0,2,12920,1050.0,300800.0
75833.0,2,12970,467.0,266700.0
37813.0,2,13230,,80500.0
46719.0,2,13340,,210500.0
,2,13450,,
75417.0,2,13550,,
44375.0,2,13670,,
34750.0,2,13780,,175000.0
,2,13860,,
,2,13890,,
,2,14000,319.0,237500.0
,2,14110,763.0,
21875.0,2,14330,1125.0,156300.0
26875.0,2,14880,,225000.0
,2,15320,,218200.0
21000.0,2,15430,,85000.0
,2,16360,,166900.0
56875.0,2,16420,,188500.0
125227.0,2,16530,1135.0,
,2,16630,,
70319.0,2,16750,1250.0,256900.0
109107.0,2,17190,,367200.0
57917.0,2,17300,844.0,134400.0
77667.0,2,17410,1355.0,336700.0
,2,17670,,
61875.0,2,17740,904.0,226500.0
27500.0,2,17850,,116700.0
,2,17960,,279200.0
44375.0,2,18510,1000.0,104200.0
71765.0,2,18620,1014.0,222800.0
100707.0,2,18675,1391.0,226900.0
77941.0,2,18805,,456300.0
90208.0,2,18925,1215.0,291800.0
82604.0,2,18950,1242.0,265200.0
20625.0,2,19060,,
,2,19720,,
,2,19750,,
33250.0,2,20020,,159000.0
48750.0,2,20380,600.0,
,2,20600,,
,2,20716,,
38500.0,2,20970,,212500.0
40417.0,2,21040,615.0,59300.0
96250.0,2,21150,,108300.0
63182.0,2,21370,1897.0,
35500.0,2,21810,,
194063.0,2,22140,,337500.0
40750.0,2,22250,775.0,86300.0
42321.0,2,22910,940.0,106500.0
67788.0,2,23460,668.0,248100.0
,2,23720,,
82083.0,2,23790,,67500.0
,2,23900,,
66572.0,2,24230,1381.0,223600.0
65625.0,2,24660,,
92205.0,2,24980,1385.0,296900.0
105521.0,2,25000,1420.0,314700.0
,2,25220,,
92188.0,2,25550,1553.0,304900.0
,2,25880,,
60625.0,2,26100,1838.0,
36250.0,2,26760,961.0,103300.0
,2,26835,,
,2,26870,,
49688.0,2,26910,950.0,230600.0
70987.0,2,27090,1182.0,283600.0
55023.0,2,27145,1413.0,172000.0
,2,27420,,625000.0
